cid,text,author,votes,heart,paid
Ugw3HkM69RZSFuZzZOV4AaABAg.9c3Ui4eWf-89c4NdOgO4Ci,"കുഞ്ചു വന്നിട്ട് എന്ത്‌ കാട്ടനാ",Be real Or just leave,2,False,None
Ugw3HkM69RZSFuZzZOV4AaABAg.9c3Ui4eWf-89c51P1Vo8G5," @Be real Or just leave  കുഞ്ചു വന്ന് മലമറിച്ചേനെ  നേരത്തെ ടീമിൽ വന്നു കാണിച്ചതൊക്കെ കണ്ടതല്ലേ റൺ അടിക്കാനും അറിയില്ല സിറ്റുവേഷൻ കളിക്കാനും അറിയില്ല കളി ജയിപ്പിക്കാനും അറിയില്ല ",Rahul Rajappan,1,False,None
UgzoWwbscNiuylgQNx54AaABAg.9c3Uv36CE_N9c4Sgj4E1NE,"ആദ്യ കളി  മൂഞ്ചി... ഇനി 4കളിയിൽ  3എണ്ണം ഇന്ത്യ ജയിയ്ക്കാൻ എതിരാളികൾ  zimbabwe canada ടീമുകൾ  അല്ല...",Krishna. kc,3,False,None
UgyKswyHquZoXZPHlmx4AaABAg.9c4D4eln_FO9c4MF1dOcWh," @sreejith s  പാകിസ്ഥാനിൽ നിന്റെ കുഞ്ഞമ്മായി ഉണ്ടോ....? ഒരു കളി തോറ്റു എല്ലാരും ട്രോളാൻ തന്നെ നിന്നത് ആണ്. അത്ര വലിയ ക്യാപ്റ്റൻ അരുന്നെങ്കിൽ എന്ത് കൊണ്ട് ജയിച്ചില്ല.....??",Sangeeth K P,1,False,None
Ugw_17ej84pIAbOpGLh4AaABAg,"പഷ്ട്ട്..  പന്തോ Captain.. എങ്കിൽ വേഗം തോറ്റോളും.   സഞ്ജുവിനെ ഉൾപ്പെടുത്താത്തത് കൊണ്ട് ഇന്ത്യ 4 കളികൾ തോൽക്കും.  ഉറപ്പ്.",Ansari Ansari,3,False,None
UgzH7pF8aeLfB2ClpQ14AaABAg,"രാഹുൽ പുറത്ത് പോണം സന്തോഷം ആയി",Sangeeth K P,2,False,None
UgwhZNeZy2vn7Nao6O54AaABAg,"നേരനോടായ്",Shiju Paul,0,False,None
UgwlVqaWtWaPC40sHB94AaABAg.9c0vzZDwnOk9c1eOKXOJ5m,"ഐപിഎലിൽ മുംബൈയോടുള്ള മാച്ച് തോൽപ്പിച്ച പന്തിനാണോ ഈ കയ്യടി ",Uvais M,2,False,None
UgwURRLGxalR0Hbb8xR4AaABAg,"Ireland നോട്‌ ഉള്ള ടീം അന്നൗൺസ്‌ ചെയ്തോ",UNAIS M,0,True,None
UgzU5WcgDxeG1hfulnh4AaABAg,"രാഹുൽ ക്യാപ്റ്റൻ... ",Sangeeth K P,5,False,None
UgyAjMnC0pr95vuixUZ4AaABAg,"ഹോ ആ കളി ഇന്നും കണ്ണിൽ ഓർമ ഒണ്ട്. കൈ അടിച്ചും തൊണ്ട പൊട്ടി കൂവി വിളിച്ചും ഒക്കെ ഒരു മാസ്സ് സിനിമ കണ്ട പോലെ.. അതിന്റെ ഒക്കെ ഫുൾ ക്രഡിറ്റ്.. ധോണി കും.. മുനഫിനും..",SK Tech,6,True,None
UgyzBmbcJrqkYxmGDKx4AaABAg,"പൊരുതി തോറ്റാൽ പോട്ടെ എന്ന് വെക്കും ഇതൊരുമാതിരി ",Ameer jasim Ameer jasim,9,False,None
UgxDcOucLdDcaF7dMkZ4AaABAg,"സഞ്ജുവിന്റെ ക്യാപ്റ്റൻസി വേറെ ആർക്കൊക്കെ ഇഷ്ടപ്പെട്ടാലും എത്രയൊക്കെ കഴിവ് സഞ്ചു തെളിയിച്ചാലും കാണിച്ച് കൊടുത്താലും കണ്ണ് തുറക്കാത്തതും കാണാത്തതും അല്ലെങ്കിൽ കണ്ടില്ല എന്ന് നടിക്കുന്നതും ഇന്ത്യൻ selectors മാത്രം.  എത്ര മോശം കളി കളിച്ചാലും അവർക്ക് ഇഷ്ടപ്പെട്ട അല്ലെങ്കിൽ അവർ തീരുമാനിച്ചിട്ടുള്ള കളിക്കാരെ അല്ലാതെ ആ നാറികൾ ടീമിൽ ഉൾപെടുത്തില്ല.  അവർക്ക് അതിനുള്ള ഗുണവും കിട്ടുന്നുണ്ടാകും.   മലയാളി ആയി എന്ന ഒരേഒരു തെറ്റേ സഞ്ജുവിന്റെ ഭാഗത്ത് നിന്നും ഉള്ളൂ.  അത് ഇനി മാറ്റാൻ പറ്റത്തില്ലല്ലോ...",Ansari Ansari,11,True,None
UgwTrlDNkvu9bMg9Jmx4AaABAg,"Buttler ഫാൻസ്‌ ആരെങ്കിലും ഉണ്ടോ..",Mr. അച്ചായൻ,133,False,None
UgxrDa0FagxZJ_K_-A14AaABAg,"അവസാന over വരെ കൊണ്ട് പോയി ടെൻഷൻ അടിപ്പിക്കാതെ ജയിപ്പിച്ചതിന്  ജോസെട്ടനു പ്രത്യേകം നന്ദി.",joseph kidangan,25,True,None
UgyJHq2SzvoT9FgcPEd4AaABAg,"ഇന്നാണ് കളി ",Ameer jasim Ameer jasim,7,True,None
UgxqESfNmQgxphP-qKJ4AaABAg,"നമ്മുടെ സഞ്ജു ",Salam Salam,1,False,None
UgzZ0m1jb01TYn5q_gl4AaABAg,"RCB ജയിക്കും രാജസ്ഥന്റെ ബോളിങ്ങും ഫീൽഡിങ്ങും നിലവാരമില്ലാത്തതാണ്",dev and dev,10,True,None
UgxYsD0d5jGN20RCszh4AaABAg,"ഗുജറാത്തിനോടുള്ള  ഒരു കളി ഇതുപോലെ സീനിയർസ്  കയറിയപ്പോൾ Rajath അടിച്ച 50 കണ്ടപ്പോൾ തോന്നിയിരുന്നു  ഭാവി വാഗ്ദാനം ആണെന്ന്  പിന്നെ കുറച്ചു കളിയിൽ ഇറക്കിയില്ല   സമ്മർദ്ദം ഇല്ലാത്ത യുവ താരം ",Be real Or just leave,26,True,None
Ugz0tyQH-BGEe0BjbUd4AaABAg,"ഒരു ലക്ഷം കാണികളുടെ മുന്നിൽ ഒരു തീപ്പൊരി മത്സരം ",Sunju S,23,True,None
Ugz8CNFGQqR3wasSOsB4AaABAg,"സ്ലോ യോർക്കാർ വൈഡ് യോർക്കർ സ്ലോ ബൗണ്സ്ർ  ഇവ ഡെത്ത് ഓവറുകളിൽ അറിഞ്ഞിരുന്നു എങ്കിൽ കളി ജയിക്കാമായിരുന്നു",Prem Raj K J,9,True,None
UgyX3TOzLooTqcaM3ZN4AaABAg,"വിക്കറ്റ് വലിച്ചെറിയാതിരുന്നു എങ്കിൽ കളിയുടെ ഗതി തന്നെ വേറേ ലെവൽ ആകുമായിരുന്നു",S Sajikumar,0,False,None
UgzeqpQ90ujyUNMQl9Z4AaABAg,"ഈ സീരീസ് തോൽക്കും",vysakh alone,1,True,None
UgxIMbg_d4fUusD0Gvd4AaABAg,"അങ്ങനെയൊന്നും സംഭവിക്കില്ല rr rcb ഫൈനലിൽ ",Priya nanthana E.R. 8- F Nanthana E.R,15,True,None
UgwRXcUTE6P-MmQtO4B4AaABAg,"എങ്കിൽ ഫൈനൽ നടക്കട്ടെ ",Mujinfo 786,0,True,None
UgzQPP_HFn62xYJMAcF4AaABAg,"മലയാളികളോട് എന്നും വിവേചനം കാണിക്കുന്നു സഞ്ജു മലയാളി ആയതുകൊണ്ടാണ്",Rajesh Kanukkunnil,39,True,None
Ugy1vY752oFVnKJ9YEJ4AaABAg,"MI ആത്യം മുതലേ DB യെയും TD യെയും കളിപ്പിയ്ക്കണം ആയിരുന്നു ",Anoop kumar Anoop,8,True,None
UgwZneq6gj4TwXHWpc54AaABAg,"Captain എന്നനിലയിൽ Sanju തെറ്റില്ലാത്ത പ്രകടനം കാഴ്ചവെച്ചു പക്ഷെ batter എന്നനിലയിൽ Sanju പരാജയമായിരുന്നു Sewang നെ പോലെ ബാറ്റ് വിശുന്ന പഴയ Sanju വിനെ കാണാൻ ആഗ്രഹമുണ്ട്.",ajinesh kumar,33,True,None
Ugx6xAhO4FVdFhZJBZV4AaABAg,"Hetmayor നെ മാത്രമല്ല നാലാമതൊരു overseas playare കൂടി ഉൾപ്പെടുത്തണം.  പരാഗ് നെ പുറത്തിരുത്തണം. ...",Ansari Ansari,5,True,None
UgzgovLsxjp_bt8h8at4AaABAg,"കോഹ്ലി പിടിച്ച് നിന്നാൽ തീരാവുന്നതേയുള്ളൂ RCB പ്രശ്നങ്ങൾ എന്ന് ഞാൻ പറഞ്ഞിരുന്നു അതിന് ഹെയ്റ്സിന്റെ ഓവർ കോൺഫിഡൻസ് മറുപടി ഇതായിരുന്നു അദ്ദേഹം നിന്ന് കിട്ടിയാൽ മതി എതിർ ടീം ജയിക്കുമെന്ന് പക്ഷേ നിങ്ങൾ ഒരു കാര്യം മറന്നു  His name is king kohli ",ഹിറ്റ്മാൻ ആർമി 🇮🇳,59,True,None
Ugyanz5_eimn6OMkYDV4AaABAg,"കോഹിലി ഫോം ആയാൽ തീരാവുന്നതേ ഉള്ളൂ ടീമിന്റെ പ്രശ്നം. He is allwaysking",ashok Kannan,23,True,None
UgyrtXDAvSjjbeCqQtl4AaABAg,"കഴിഞ്ഞ കളിയിൽ bowler മാരുടെ പ്രകടനം മോശമായിരുന്നു. ബാംഗ്ലൂർ ജയിച്ച മിക്ക കളികളിലും middle ഓർഡർ batsman bowlers ഇവർ രണ്ടുപേരും നല്ലരീതിയിൽ കളിച്ചിട്ടുണ്ട്",Herculez🉑,4,True,None
UgwX5gxhEWn3fHl0Yzp4AaABAg,"Rinku സിംഗ് നല്ല ഒരു batter ആണ് but chance വളരെ കുറവാണ് കിട്ടുന്നത്. കുറച്ചൂടെ മുൻപിൽ കളിപ്പിക്കണം. നല്ല ഒരു ഫീൽഡർ കൂടിയാണ് റിങ്കു. ഇന്ത്യൻ കുപ്പായം അണിയൻ സാധിക്കട്ടെ. ",Rasakh Rasakh,13,True,None
Ugx8cxR0W09oMGgM9Dl4AaABAg,"Correct ആണ് ബ്രോ. മുംബൈ നല്ലം കളിച്ചു. But david വെറുതെ ഓടി റൺ ഔട്ട്‌ പൊരുതി തോറ്റു.. David ",😘captain rohitsharma 😘,19,True,None
UgzxnF01yHvQDF2zlqt4AaABAg,"ഇന്നും മുംബൈ ജയിക്കും ",Binu Binu,8,True,None
UgwIqeoU37dCHxtBCTZ4AaABAg,"എല്ലാ സീസണുകളിലും പോലെ ഈ സീസണിലും മുംബൈയെ ഉറ്റുനോക്കുന്ന ഒരു മത്സരം  rcb കയറണോ? അതോ ഡൽഹി കയറണോ? ഇനി അത് അവർ തീരുമാനിക്കും  ദൈവത്തിന്റെ പോരാളികൾ  ഇത് മുംബൈ ആടാ താഴത്തില്ലടാ  ",ഹിറ്റ്മാൻ ആർമി 🇮🇳,4,True,None
UgxmKUVqFGToEamVVMl4AaABAg,"Sanju മലയാളികളുടെ oru oru അഭിമാനം ",Boss,24,True,None
Ugxe9j2mresnH3peYNN4AaABAg,"അടിപൊളി ബാറ്റിംഗ് വീണ്ടും അനാവശ്യ ഷോട്ടിൽ പിഴച്ചവസാനിച്ചു... ജയിച്ചത് നന്നായി ഇല്ലെങ്കിൽ എല്ലാവരും കൂടെ പൊരിച്ചേനെ",കടലാസ് ,4,True,None
UgwoJPYA4gRPrL4bR2d4AaABAg,"മുംബൈ ഇല്ലെങ്കിൽ ചെന്നൈ ഇല്ല",Abhi,23,True,None
Ugx9xKpE2vFVMKPM_RB4AaABAg,"സാംസിനെ മുംബൈ നില നിർത്തണം എന്നാ അടുത്ത സീസണിൽ ബുമ്ര അർച്ചർ സാംസ് ഇവരുടെ കോംബോ കാണാം",Ameen Junaid,11,True,None
UgzoHz5HTXEmWg73N0Z4AaABAg,"ഇത് മുംബൈയുടെ ആറാട്ട്  മലിംഗ പോയപ്പോൾ bhumrah ബോൾട്ട് പോയപ്പോയോ സാംസ്‌ Its മുംബൈ ഇതിലേക്ക് അവൻ കൂടി വരും ഒറ്റ പേര്  Jofra Archer ",ഹിറ്റ്മാൻ ആർമി 🇮🇳,24,True,None
