cid,text,author,votes,heart,paid
UgwRM_E8Y3MGc0-7-xl4AaABAg,"എല്ലാവരും മച്ചാന് ഗായിസ് എന്നെക്കയാണ് പക്ഷെ ആരോമൽ മാത്രം പ്രക്ഷകരെ അത് പൊളിച്ചു",MUHAMMED AFSAL,52,False,None
UgxSgNVtYXgPEB8vz4J4AaABAg,"നമ്മളെ മച്ചാൻ പോളിയാണ്.... ടിങ് ടിങ് മച്ചാൻ അന്നും ഇന്നും പൊളി",Minhaj,40,True,None
UgynlMo2nTBmTJj-d854AaABAg,"ആദ്യം കുറെ ട്രോളും... പരിഹാസവും ഏറ്റുവാങ്ങിയെങ്കിലും.... ഇപ്പോൾ ഏകദേശം രണ്ടര ലക്ഷത്തോളം സബ്സ്ക്രൈബ് ഉള്ള ചാനൽ ആയി മാറി കഴിഞ്ഞു.....അതാണ് Pewwer ",MADHARI_,10,False,None
UgzOIkSdTKUjRgVEMy14AaABAg,"മച്ചാനെ viral ആക്കിയ dumbell ലും കൂടി give away യിൽ വേണംമെന്നാണ് എന്റെ ഒരിത് ",മുണ്ടൂർ മാടൻ,50,True,None
UgwVju-SUScUSfxudE54AaABAg,"കളിക്കുന്നെങ്കിൽ  ഇവനെപോലെ ജയിക്കാൻ വേണ്ടി കളിക്കണം",Mad Hubbies,34,False,None
Ugyir7J-PGudl509vqB4AaABAg,"കഴിഞ്ഞ വീഡിയോ കണ്ടപ്പോഴേ മനസിലായി മൂഞ്ചിപ്പാണെന്ന്.... ",Deepu Lal,117,True,None
UgzV6vEUNzLfOjo9mzl4AaABAg,"1K ആവാൻ സഹായിച്ച എല്ലാ മച്ചാന്മാർക്കും നന്ദി.  തുടർന്നും ഈ സപ്പോർട്ട് പ്രതീക്ഷിക്കുന്നു..",INFIGHT GAMING,46,False,None
UgzYaaX7rX6C0wkEyrZ4AaABAg,"ഇങ്ങനെ ആർക്കും ചതി വരാതിരിക്കട്ടെ",Heyyy,99,True,None
Ugyyj_Mv7ZTIA_fvYL14AaABAg,"സ്ക്രിപ്റ്റ് ആണേലും വ്യത്യസ്തമായൊരു കണ്ടന്റ് ഇട്ടല്ലോ... സന്തോഷം  thumbnail എടുക്കാൻ വരെ നിന്ന് തന്നല്ലോ",Shibin Shams,817,False,None
UgweG1zDyyuTwjMFxDJ4AaABAg,"ഡേയ് ആദ്യം നീ മാസ്ക് ഇട്ടിട്ട് വേണം അവരുടെ അടുത്ത് പോകാൻ ആയിട്ട് നീ തന്നെ പറയുന്നു ഇത് എൻ്റെ സ്ഥലം ആണെന്നും അതുകൊണ്ട് നിനക്ക് മാസ്ക് വേണ്ട എന്ന് അങ്ങനെ ഒരു നിയമം വന്നിട്ടുണ്ടോ സ്വന്തം area il മാസ്ക് വേക്കണ്ട എന്ന്.ഞാൻ ഈ വീഡിയോ ഫുൾ കണ്ടൂ. എൻ്റെ അഭിപ്രായത്തിൽ ആ പയ്യൻമാരുടെ ഭാഗത്ത് ആണ് ന്യായം കാരണം അവർ മാസ്ക് ഇട്ടിട്ട് ആണ് കാർ ഇല്  ഇരിക്കുന്നത്. അവർ വേറെ എന്തെങ്കിലും പരിപാടി ആയിരുന്നെങ്കിൽ നിനക്ക് ചോദിക്കാം ആരാണ് എന്തിനാണ് വന്നെ എന്ന്. ഇത് നീ പോയിട്ട് ഞങ്ങൾ വീഡിയോ എടുക്കുകയാണ് ഇത് എൻ്റെ സ്ഥലം ആണ്  എന്നൊക്കെ പറഞാൽ ആരാണ് എങ്കിലും അവരെ പോലെ പെരുമാറു  .പിന്നെ മാസ്ക് ധരിച്ചിട്ടാണ് ചോദിച്ചത് എങ്കിൽ നിൻ്റെ ഭാഗത്ത് ആയേനെ ന്യായം നീ കാണിച്ചത് തീരെ ശെരി ആയില്ല",Alan Reji,557,False,None
UgwFyaqVUONwccDZJUt4AaABAg,"ഞാൻ ആദ്യ വായിട്ടാ ഇത്കാണുന്നേ നല്ല വീഡിയോ മച്ചാനെഇത് കാണാൻ കഴിഞ്ഞതിൽഒരു പാട് സന്തോഷം..!",꧁༒Mr ലുട്ടാപ്പി༒꧂,43,True,None
UgwcMRhZrWrY1-BXc994AaABAg,"SSLC വിജയിച്ച എല്ലാ അനിയന്മാർക്കും അനിയത്തിമാർക്കും ആശംസകൾ ",STORIES_OF_JAIGURU,101,False,None
UgwHK9v8OY6Qns9Ty1R4AaABAg,"SSLC സ്റ്റുഡൻസ് ഒകെ മാർക്ക് കണ്ട് ഞെട്ടിയിരിക്കുകയാണ് എന്നാലും A+ വാങ്ങിയ എല്ലാവർക്കും എന്റെ ആശംസകൾ ",༒ദളപതിഭക്തൻ༒,68,True,None
UgxJtGi_VDrivTw4DNF4AaABAg,"മീൻ പിടിക്കൽ എന്നുംനമ്മുക്കൊരു ഹരമാണ്...!!",A  N  Z  U 🐼,1,False,None
Ugx_YP7s26SobRCpzoB4AaABAg,"സ്വാഭാവികം ഈ സാറാണ് ISRO-യുടെ director. അതു കൊണ്ടാണ് ഫോണൊക്കെ ഹാക്ക് ചെയ്തത്….",joshy thomas,25,False,None
Ugz5Zm_bfI7lleLxtLN4AaABAg,"മച്ചാനെ ഒന്നും നോക്കണ്ട കണ്ടം വഴി ഓടിക്കോ ",Deepu deepu,13,False,None
Ugz_lQPNAesLfrjG6eh4AaABAg,"വളരെ വൃതൃസ്തമായ ബിരിയാണി",Sanfeer Kh,2,False,None
Ugwy8SeUlDOjFXD5U_N4AaABAg,"കൊള്ളാം",꧁༒Mr ലുട്ടാപ്പി༒꧂,7,False,None
UgzJRTtbS1FH0UdJuZ94AaABAg,"ബ്രോ പൊളിക്കുവാണല്ലോ ബ്രോയുടെ സ്ഥലം പലതരത്തിൽ ഉള്ള വിഷയം ആണല്ലോ",DJ JISHNU CMK,28,True,None
UgzJice1axZLiKeJJO54AaABAg,"ആരോമൽ മുത്തേ നിങ്ങൾ പൊളിയല്ലേ ഇനിയും അടിച്ചു പൊളിച്ചു കേറിവാ പ്രേക്ഷകറെ",DJ JISHNU CMK,64,True,None
UgzGMAP7g1Ex2laNYxN4AaABAg,"ഇതു കാണുന്ന മനോരമ Chief editor  :വിട്ടു കളയരുത് ഇവനെ.... ലക്ഷത്തിൽ ഒന്നേ കാണു",RUBIN GEORGE,11,True,None
UgxemEoGlZmQeah4HrN4AaABAg,"പാലാ എന്ന് കേട്ടാൽ ആദ്യം ഓർമ്മ വരുന്നത്-പാലാ ജി",😌aranu njan,19,False,None
UgxI00qb9MaIlFRt_S54AaABAg,"കുറ്റിക്കാട്ടിലൊരു അരിവറക്കൽ അല്ല റോസ്സ്റ്റിംഗ് ",RUBIN GEORGE,57,True,None
UgzpZJV7AYBrEWrEeUh4AaABAg,"ഇത്രേം അറിവുള്ളവനാണ് നമ്മടെ ആരോമൽ എന്ന് ippo അറിയുന്ന njen.. ഏന്തയാലും കൊള്ളാം bro ",©️ֆǟʟʍǟռ ʄǟʀɨֆ ™️,76,True,None
Ugzv0nA2a7ofjBHkoL94AaABAg,"കളിയാക്കുന്നവർ കളിയാക്കട്ടെ അവരോട് പോവാൻ പറ!!...    നീ പൊളിക്ക്... മുത്തേ!...full സപ്പോർട്ട്",RK ROCKY GAMING,176,False,None
UgzvGedFAO80hwPhmqB4AaABAg,"ജീവിതത്തിൽ നടക്കുന്ന യഥാർത്ഥ സംഭവങ്ങളെഅതെ രൂപത്തിൽ നമ്മളിലേക്ക് എത്തിക്കുന്നഡിങ് ഡിങ് മച്ചാന് ഇരിക്കട്ടെ..!!",Dark Boy Gaming,1.1K,False,None
Ugxk2szmVsSojX_dYRx4AaABAg,"ഈ കൊറോണക്കാലത്തും ഇതുപോലെ ഉള്ള അണ്ണാക്കിൽ പിരിവെട്ടുന്ന തമാശകളുമായി വരുന്ന ആരോമലിന് ഒരു നിറഞ്ഞ കയ്യടി കൊടുക്കണം ",RUBIN GEORGE,562,False,None
UgwCd5fMZSWMG5ADeIh4AaABAg,"ആരോമൽ നെ ദൈവം അനുഗ്രഹിക്കട്ടെ",Mubashir Madathil,78,False,None
UgwViZG7QBlq5Pyk2tF4AaABAg,"സ്വന്തം ശൈലി കൊണ്ട് ഈ ലെവലിൽ എത്തിയ ആരോമൽ",Mr SrEEpS,175,True,None
Ugx0WEC4oc-lSqEdTtx4AaABAg,"ഞങ്ങൾക്ക് ഇഷ്ടപ്പെട്ട ഗെയിം പൈനാപ്പിൾ വെട്ടി പുള്ളുന്ന ഗെയിം തന്നെയാണ്  ting ting മച്ചാനെ ഗഫൂർ", കാ ദോസ്ത്; Ksa,63,False,None
UgzxB7lZwDUjIA-4Yu94AaABAg,"വ്യത്യസ്തമായ കാടിനെ കുറിച്ച് വിജിത്രമായി പറയുന്ന കേരളത്തിലെ ഏക ഒരു യൂട്യൂബർ",വാസു അണ്ണൻ VA,68,False,None
Ugx7EbrsD5FBVzp6WrR4AaABAg,"ഈ ചെക്കൻ വീഡിയോ ചെയ്യാൻ എന്നും പറഞ്ഞു പുലിയും  കടുവേം ഉള്ള കാട്ടിലേക്ക് വലിഞ്ഞു കേറാതെ ഇരുന്നാ മതിയാർന്നു.... പ്രേഷകരുടെ സ്വന്തം ആരോമൽ മോൻ..",കമെന്റൊളി 😜,3,False,None
UgxSnus8puKShpmMPPB4AaABAg,"ശങ്കരന്റെ എനർജിയും ആരോമലിന്റെകോമഡിയും കണ്ടും കൂടി ആയപ്പോൾഎല്ലാം കൊണ്ടും അൽ പൊളി...!",Dark Boy Gaming,255,False,None
UgyXis5N73UgvpG52EN4AaABAg,"ചക്കികൊത്ത ""ശങ്കരൻ""ഇപ്പോൾ പൊളിച്ചു ",I Metty metty,139,False,None
UgydijYQgCwKVXkVKW14AaABAg,"ഒരു ട്രോൾ വീഡിയോയിലൂടെ ജനങ്ങളുടെ മനസ്സിൽ കയറിപ്പറ്റിയ രണ്ട് യുവമിഥുനങ്ങൾ പരസ്പരം കണ്ടുമുട്ടുക യായി പ്രേക്ഷകരെ ഗഫൂർ", കാ ദോസ്ത്; Ksa,771,True,None
UgzRDSLgPrmuQDtctlF4AaABAg,"മച്ചാന്റെ ആ പ്രേഷകരെ എന്ന വിളിയാണ്വീഡിയോ കാണാൻ കൂടുതൽ പ്രചോദനംനമ്മക്ക് തരുന്നത്..!",Dark Boy Gaming,538,False,None
UgwY4qlRolQmpuzNNhZ4AaABAg,"നിങ്ങൾ എല്ലാവരെയും ടിങ് ടിങ്ങ് മച്ചാനെ safe ആയിട്ട് ഞാൻ വീട്ടിലൈക് കൊണ്ട് വന്നിട്ട് ഉണ്ട്.... കേട്ടോഅങ്ങനെ നമ്മളെ ആരോമൽ കണ്ണൂർ എത്തിയിട്ട് ഉണ്ട്‌ട്ടോ.... നാളെ രാവിലെ വയനാട് പോവാൻ വന്നതാണ്.... ഒരു 3daysilyk ഒരുപാട് നല്ല നല്ല വീഡിയോസ് വരുന്നുണ്ട് ",Anandhu Broo,1.1K,True,None
UgxzVPtpwrQ3aJRmyd94AaABAg,"ഇത് ഒരു പ്രത്യേക തരം വിചിത്രമായ നാട് വിടലാണ് പ്രേക്ഷകരേ.....",CLTX,621,True,None
Ugw-eHYdLW9ePlGJ0wV4AaABAg,"നമ്മുടെ രാജ്യത്തിന് വേണ്ടി ജീവൻ അർപ്പിച്ച ഭാരതത്തിലെ ധീര ജവാൻമാരെ ഒരു നിമിഷം സ്മരിക്കാം ",രമണപ്പൻ👁️‍🗨️,1.3K,False,None
UgzgjEunVGW3su0SUnl4AaABAg,"കമൻറ്റ് വായിച്ചുകൊണ്ട് വീഡിയോ കാണുന്ന പ്രേക്ഷക്കരെ വായോ ഇങ്ങോട്ട് വാ പ്രേക്ഷക്കരേ...",꧁രമണൻ ༒മോതലാളി꧂,881,False,None
