cid,text,author,votes,heart,paid
UgxO-F2ORET3JMe9obt4AaABAg,"എന്തൊരു അവസ്ഥ...നിഖിലേട്ടാ ",Linson Mathews,3,False,None
UgxkV-_M3Eiq2FG2sEN4AaABAg,"ജീൻസ് ",Akshaya Aji,3,False,None
UgyIv1-_0MBB5iKmW_l4AaABAg,"ഉണ്ണിയേട്ടൻ first ",NeethuSreejith,11,False,None
Ugw3V4gytqPbmnHSDz54AaABAg,"അടിപൊളി ",Success Tips - SruthiSohan,0,False,None
UgwUHkpUoi-_0M6eHKR4AaABAg,"ഉണ്ണീടെ ചിരി കരച്ചിൽ..  പൊളി.. ",Steena kv,33,False,None
UgyU9IbCgFpdrzclQTJ4AaABAg,"അങ്ങനെ അമ്മയുടെ ഐഡിയ Workoutum ആയി നിഖിലേട്ടൻ workingum ആയി ",Arun Paruthooli,11,False,None
Ugzv5VE-5_ySCm0ysbR4AaABAg,"സിങ്കപ്പെണ്ണേ... ",Reshma Raju,28,False,None
Ugzo1UQDwcPEqiw4Nel4AaABAg,"KGF 3 യുടെ പുതിയ editor നെ കിട്ടി ",RUBIN GEORGE,145,True,None
UgwkY_F-k8me4l-ZVL54AaABAg,"എന്റെ പൊന്നോ lenna ചേച്ചി ആ last തല ആട്ടി ഉള്ള നടത്തം supper",FAKHIR MASHOOD,158,False,None
UgzKr1l5-15YQZlvgKF4AaABAg,"ആ കണ്ണ് ചിമ്മുന്നതു കണ്ടാൽ കമ്പ് എടുക്കാൻ തോന്നുമോ നിഖിൽ ചേട്ടാ പാവം കൂട്ടിയല്ലെ",Saneesh Kumar,127,False,None
Ugy63V6juL5mwrWNXRV4AaABAg,"പൊളി pin",FLAME GAMING,17,False,None
Ugy9GiaqTLkhe6yFOrZ4AaABAg,"എന്റെ പൊന്നേ ",Ambili N,51,False,None
Ugz4O8Q5IPBY09FjVv14AaABAg,"ഷിബു അണ്ണൻ ",┈⛧ѕнιвιℓα,3,True,None
Ugy4wnlHADgRhgKov8t4AaABAg,"ആ ചിരി ",D I V Y A,108,True,None
UgwUwg-kQtiHDxu4p3V4AaABAg,"കോവക്ക അല്ല പാവക്ക ",𝗦𝗿𝗲𝘆𝗮𝘇𝗭,467,True,None
Ugx7WmqVLlimYkhibAJ4AaABAg,"സ്വതം പേര് പറയല്ലേ ",holy kids,18,True,None
Ugznlk5Cr4Jcgkdt1Rl4AaABAg,"Psc റിസൾട്ട്‌ വരാത്ത ഈ ടൈമിൽ തന്നെ ഇട്ട നിങ്ങൾക് അഭിനന്ദനങ്ങൾ ",ozone,42,True,None
Ugz9wkW5U5FChcKTS8R4AaABAg,"ഈ ജനറേറ്റർ എന്നെയും കൊണ്ടേ പോവു സാർ ... ?",yathra kadha vlogs,102,True,None
UgxIOjXCKbABmxrPS1N4AaABAg,"പെട്ടെന്ന്  നിഖിലേട്ടനെ കണ്ടപ്പോൾ കാറ്ററിംഗ് വർക്കിന് പോകുവാണെന്നു  ക്ലൈമാക്സ്‌ അത് പോലെ തന്നെ ആയി ",Radhika sarath,157,True,None
UgzJejX1e0ZKkxbfz7p4AaABAg,"എന്നാലും വീണിടത്ത് കിടന്നുരുളാൻ നമ്മുടെ ലെന കുട്ടിയെ കഴിച്ചെയുള്ള മേക്കപ്പ് പൊളിയാരുന്നു ഒരു നെറ്റി പട്ടത്തിന്റെ കുറവുണ്ടായിരുന്നുനിഖിൽ ബ്രോയുടെ ഒരു ഭാഗ്യം ഇതുപോലെയുള്ള ഭാര്യയെ കിട്ടിയത് ",yathra kadha vlogs,69,True,None
UgzkpB8x9gYEd59HOJd4AaABAg,"ഫോൺമം നടത്തവും what a combination.. ആദ്യം ഗോവ യില് എത്തണം എന്ന് പറഞ്ഞ ആൾ ആദ്യം തന്നെ ഗോവയിൽ എത്തി..#r4amhser",R4Amhser,16,True,None
UgxQ5PHElrfVJquOwsN4AaABAg,"ഷിബു അണ്ണാ വാ നമുക്ക് പുറത്തു പോയി കഴിക്കാം...",Dude,338,True,None
UgxhC4marncTB6pSNsF4AaABAg,"നിങ്ങളെ ഭയങ്കര ഇഷ്ടാ എല്ലാരും പൊളിയാ ",Swapna Anil,16,True,None
Ugwg8tZ5dbvklaZywoh4AaABAg,"Ayn പിള്ളേരൊക്കെ വളർന്നു കേട്ടോ ചേച്ചി ഇങ്ങൾ വല്ലോം അറിയുന്നുണ്ടാ",𝗦𝗿𝗲𝘆𝗮𝘇𝗭,116,True,None
UgxfZ5SaVfgXvPdMQ814AaABAg,"കുഞ്ഞിപ്പുഴു കണ്ട് കണ്ട് ചിരിച്ചു ചിരിച്ചു വഴിയായി എന്നാലും അല്ലാരും തകർത്തു.... ഷിബു ചേട്ടാ ",Joncy Joseph,29,True,None
Ugw-UiL_JQGx7B_PQ094AaABAg,"Add പറയുമ്പോൾ  skip അടിക്കുന്നവർ  like അടി ",MR kaalan gaming,23,True,None
UgzwnUVWMRfm-m2j0Z54AaABAg,"ചേട്ടനെ കണ്ടാൽ ബാലാജി യെപോലുണ്ട്. ജൂനിയർ ബാലാജി",MANZOOR MR,216,True,None
UgyfxmEd4-clBogRiax4AaABAg,"സൂപ്പർ ",priya edits,20,True,None
UgwgnOXA6RBCB1YVUHV4AaABAg,"എപ്പോഴാ vanneപറശ്ശിനി കടവ് Kannur കാർ ഉണ്ടോ ",vychu shalu,339,True,None
Ugzm6dTAmHKZrhbNkBx4AaABAg,"പറശ്ശിനിക്കടവ് ",Shamil KS,228,True,None
UgySIbqPU5gnJiFGl4d4AaABAg,"മോളെ നെഞ്ചിൽ കിടത്തി ഉറക്കി കൂർക്കം വലിച്ചുറങ്ങുന്ന ഷിബു അണ്ണനെ കാണാതെ പോകരുത് ",binu george manuel,520,True,None
UgxNkymxlWXoyYweadN4AaABAg,"ചത്തവന്റെ  മീൻ വറുത്തത് അടിച്ചുമാറ്റി",Time Of Art,482,True,None
Ugyyr9z4oSfT0bc8fU54AaABAg,"ആത്മാവ് ആയിരുന്നോ ",Akshay Suneed,680,True,None
Ugx-BBSXkeZNHf6eh314AaABAg,"എന്തരു അണ്ണാ .... മനുഷ്യനെ പറ്റിക്കാൻ നോകണ",Abi Vava,359,True,None
Ugzn7uvLYFbYoNwdhCF4AaABAg,"പതിവ് പോലെ സേട്ടന്മാരും സേച്ചിയും സിക്കുട്ടിയും പൊളിച്ചു ",shanu sham,21,True,None
Ugw_PSlTE15aZhupUnB4AaABAg,"Second കമന്റ് ഇട്ടാൽ pin കിട്ടുവോ?? ",EmilY_Emi_GeorgE,636,True,None
Ugwj2n9iCmzCixU9yl94AaABAg,"വളരെ  വളരെ ശെരിയ ",cheekku&Appuu🐱🐱,69,True,None
Ugz8_7cVhsuJHyloQad4AaABAg,"കണ്ടെന്റുകളൊന്നും ചെയ്യാൻ അറിയാത്ത എനിക്ക് ഈ പരിപാടിയൊക്കെയാണ് ഒരാശ്വാസം. Super performance",Vineeth Menon,25,True,None
Ugyk2SdydhsNMvZ2jwJ4AaABAg,"ചേട്ടനും ചേച്ചിയും മകളും പൊളിച്ചു ",Abdulla Paris,6,True,None
UgyLxPm5xOc8I3Ocj354AaABAg,"Ziyamol hero ലെന നിഷ്കു ആയിരുന്നു അക്കി ചൂപ്പേർ ",Aroooz Laluz Vlog,35,True,None
Ugw8R2sAr2EA9lZHXcl4AaABAg,"ഇന്നത്തെ ഞങ്ങടെ zikuttik ചക്കരെ polichu",Mundackal Teams,8,True,None
UgxP3TAh10Ylbteivkx4AaABAg,"നല്ല മെസേജ്‌! അഭിനന്ദിച്ചാൽ മതിയാവില്ല ഒരാളെങ്കിലും മാറി ചിന്തിച്ചാലോ!! തുടർന്നുൻ പ്രതീക്ഷിക്കുന്നു!",salman ul faris mp,115,True,None
UgzJPJ-QodbDx0c8BbR4AaABAg,"ശെരി എന്ന ",βΔŁỮ- Ƥ Ř,102,True,None
UgyJHUf5ArMCiQo31SV4AaABAg,"കളയുന്ന പൂച്ചകുഞ്ഞു വരെ തിരിച്ചു വരുന്നു... പിന്നെയാ Babu ",Pablo Escobar,464,True,None
Ugw32qjASJzNY9YPOIh4AaABAg,"ഷിബു അണ്ണൻ ഒടുക്കത്ത ലുക്ക്",agori,121,True,None
Ugx31HNDVgQGZsGyP294AaABAg,"പോലീസ് വേഷത്തിൽ ഷിബു അണ്ണൻ പൊളി... ",Vipin raj,53,True,None
UgzfHNgyXX25iYmvUn54AaABAg,"ഇന്നത്തെ കാലത്തിനു ചേർന്ന ഒരു മെസ്സേജ് ",Tasty Edibles by VG 😋,37,True,None
Ugy7zkuC2t1VBEDgeg54AaABAg,"ഇത് സത്യമായി നടന്നതല്ലെ ",football,315,True,None
UgxJemT6IPidTZNNjfZ4AaABAg,"അവന്റെയല്ലേ വിത്ത് എന്റെ പൊക കണ്ടേ അടങ്ങു ",Vineeth Mohanan,173,True,None
Ugx_YVwrq6RFhqIiVBJ4AaABAg,"ആര് വന്നാലും ബംഗാളി ബാബുന്റെ തട്ട് താണ് തന്നെ ഇരിക്കും പുതിയ ആളും സൂപ്പർ ആണ് കെട്ടോ ",anjurenjith,20,True,None
Ugyi9R21E3I8f0zJWTN4AaABAg,"വിഡിയോ സ്ക്രിപ്റ്റിംഗ് അക്കി പൊളിച്ചുആക്ടിങ്  ലെനചേച്ചി  മാസ്സ്സിയാ കുട്ടി പേടിച്ചു തകർത്തു",foodyishtavlogs,146,True,None
UgwSHCOrjfvLknSKnwt4AaABAg,"ലെന ചേച്ചിയുടെ സംസാരം ഭയങ്കര ഇഷ്ട്ടം ",Fathimathul Shaneema,51,True,None
UgxWn2hHaFokQ0vQ56p4AaABAg,"സീക്രെട് സീകുട്ടിയുടെ കൈകളിൽ ഭദ്രമാണ് ",Rukku''s World,420,True,None
UgyRPM5jQvsQNG-jpoV4AaABAg,"എന്റെ കണ്ണല്ലല്ലോ പോകുന്നത് നിന്റെ കണ്ണല്ലേ""",Madex Trolls,356,True,None
